product_id,reg_date,created_by,category,name,product_status,image01,image02,image03,stock,price,description
11,1980-07-17,ADMIN,BREAD,크로와상06,SOLD_OUT,/images/image/croissant_06.png,/images/image/croissant_08.png,/images/image/croissant_02.png,100,3000,프랑스의 전통적인 빵으로 반죽에 여러 번 버터를 넣어 만든 빵입니다. 층층이 된 구조로 바삭하면서 부드러운 맛을 가지고 있습니다.
12,1990-12-22,ADMIN,BREAD,크로와상07,SOLD_OUT,/images/image/croissant_07.png,,,100,6000,프랑스의 전통적인 빵으로 반죽에 여러 번 버터를 넣어 만든 빵입니다. 층층이 된 구조로 바삭하면서 부드러운 맛을 가지고 있습니다.
13,1980-07-17,ADMIN,BREAD,크로와상08,SOLD_OUT,/images/image/croissant_08.png,,,100,5000,프랑스의 전통적인 빵으로 반죽에 여러 번 버터를 넣어 만든 빵입니다. 층층이 된 구조로 바삭하면서 부드러운 맛을 가지고 있습니다.
14,2023-08-15,ADMIN,BREAD,브리오슈02,SELL,/images/image/brioche_02.png,,,100,6000,브리오슈는 프랑스에서 유래한 부드럽고 달콤한 빵으로 풍부한 양의 버터와 계란이 사용되어 부드러운 식감과 풍미를 제공합니다.
15,1980-07-17,ADMIN,BREAD,브리오슈03,SELL,/images/image/brioche_03.png,,,100,5000,브리오슈는 프랑스에서 유래한 부드럽고 달콤한 빵으로 풍부한 양의 버터와 계란이 사용되어 부드러운 식감과 풍미를 제공합니다.
16,2023-06-02,ADMIN,CAKE,스폰지 케익 01,SELL,/images/image/sponge_cake_01.png,,,100,4000,스폰지 케익은 부드럽고 가벼운 텍스처를 가지는 케이크로 계란 설탕 밀가루를 주 재료로 사용하여 만듭니다.
17,1990-12-22,ADMIN,BEVERAGE,아메리카노01,SELL,/images/image/americano01.png,/images/image/americano02.png,/images/image/americano03.png,100,6000,아메리카노는 에스프레소에 물을 추가한 음료로 강렬한 향과 맛을 가지고 있습니다. 에스프레소의 양과 물의 비율에 따라 진하거나 가벼운 맛을 즐길 수 있습니다.
18,1980-07-26,ADMIN,BEVERAGE,아메리카노02,SELL,/images/image/americano02.png,,,100,5000,아메리카노는 에스프레소에 물을 추가한 음료로 강렬한 향과 맛을 가지고 있습니다. 에스프레소의 양과 물의 비율에 따라 진하거나 가벼운 맛을 즐길 수 있습니다.
19,2023-06-02,ADMIN,BEVERAGE,아메리카노03,SELL,/images/image/americano03.png,,,100,4000,아메리카노는 에스프레소에 물을 추가한 음료로 강렬한 향과 맛을 가지고 있습니다. 에스프레소의 양과 물의 비율에 따라 진하거나 가벼운 맛을 즐길 수 있습니다.
20,1990-12-22,ADMIN,BEVERAGE,에스포레소01,SELL,/images/image/eseupeuleso_01.png,,,100,4000,에스프레소는 고농축 커피 음료로 강력한 향과 맛이 특징입니다. 작은 양의 뜨거운 물을 높은 압력으로 커피 찌꺼기를 통과시켜 추출합니다.
21,1990-12-22,ADMIN,BEVERAGE,에스포레소02,SELL,/images/image/eseupeuleso_02.png,,,100,3000,에스프레소는 고농축 커피 음료로 강력한 향과 맛이 특징입니다. 작은 양의 뜨거운 물을 높은 압력으로 커피 찌꺼기를 통과시켜 추출합니다.
22,1980-07-17,ADMIN,BEVERAGE,우유 01,SELL,/images/image/milk01.jpg,,,100,4000,에스프레소는 고농축 커피 음료로 강력한 향과 맛이 특징입니다. 작은 양의 뜨거운 물을 높은 압력으로 커피 찌꺼기를 통과시켜 추출합니다.
23,1990-12-22,ADMIN,BEVERAGE,우유 02,SELL,/images/image/milk02.jpg,,,100,3000,우유는 동물의 유방에서 나오는 유액으로 다양한 종류가 있습니다. 농축유 식물성 우유 등이 있으며 커피 음료나 요리에 사용됩니다.
24,2023-08-15,ADMIN,BEVERAGE,쥬스01,SELL,/images/image/juice01.png,,,100,3000,우유는 동물의 유방에서 나오는 유액으로 다양한 종류가 있습니다. 농축유 식물성 우유 등이 있으며 커피 음료나 요리에 사용됩니다.
25,1980-07-17,ADMIN,BEVERAGE,쥬스02,SELL,/images/image/juice02.png,,,100,6000,쥬스는 과일이나 채소를 갈아서 추출한 음료를 말합니다. 오렌지 주스 사과 주스 포도 주스 등 다양한 종류가 있으며 신선하고 천연적인 맛이 특징입니다.
